id,title,year,directors,writers,date_in_theaters,duration,genres,actors
10722,Kanmadam,1998,Ambazhathil Karunakaran Lohithadas,Ambazhathil Karunakaran Lohithadas,01/26/1998,162,Drama,"Mohanlal,Manju Warrier,Lal"
10723,Kurukshetra,2008,Major Ravi,"Major Ravi,Major Ravi",10/08/2008,,War,"Mohanlal,Meheck Bhatiya,Pradeep Chandran"
10724,"The Arab, The Camel, and P. Madhavan Nair",2011,Priyadarshan,Priyadarshan,12/16/2011,,"Thriller,Comedy","Mohanlal,Mukesh,Bhavana"
10725,Chandrolsavam,2005,Renjith,Renjith,04/14/2005,,"Drama,Action & Adventure,Thriller","Mohanlal,Meena,Ranjith"
10726,Chenkol,,Sibi Malayil,Ambazhathil Karunakaran Lohithadas,,,,"Mohanlal,Thilakan,Keerikkadan Jose"
10727,Gamera vs. Gaos,1991,Jim Mallon,"Joel Hodgson,Michael J. Nelson",07/27/1991,97,"Science Fiction & Fantasy,Comedy","Trace Beaulieu,Joel Hodgson,Jim Mallon"
10728,Iceman,1984,Fred Schepisi,"Chip Proser,John Drimmer",04/13/1984,100,"Drama,Science Fiction & Fantasy","Timothy Hutton,Lindsay Crouse,John Lone"
10729,Neanderthal,2001,Tony Mitchell,,2001,100,Documentary,"Kenneth Cranham,Mark Byron,Jud Charlton"
10730,Caveman,1981,Carl Gottlieb,"Rudy De Luca,Carl Gottlieb",04/17/1981,91,"Science Fiction & Fantasy,Romance,Comedy","Ringo Starr,Dennis Quaid,Shelley Long"
10731,Quest for Fire,1982,Jean-Jacques Annaud,"Grard Brach,J.H. Rosny Sr.",02/12/1982,100,"Drama,History,Action & Adventure","Everett McGill,Ron Perlman,Nicholas Kadi"
10732,Superman: Requiem - Premiere Special,2011,Nilan Dharmadasa,,11/16/2011,10,"Science Fiction & Fantasy,Short,News","Marcus Ako,Joseph Bennie,Lucy Bruegger"
10733,Grayson: Earth One,2013,,,06/01/2013,16,Drama,"Katie Young,Raj Bhavsar,Stephen McCain"
10734,Return to Supermans,2007,Aaron Moles,,10/28/2007,5,"Short,Action & Adventure,Comedy","Willy Roberts,Katharine La Ronde,Cass Rasmussen"
10735,The Wicked Lady,1946,Leslie Arliss,"Magdalen King-Hall,Leslie Arliss",12/21/1946,97,"Drama,Action & Adventure","Margaret Lockwood,James Mason,Patricia Roc"
10736,Idol of Paris,1948,Leslie Arliss,"Stafford Dickens,Norman Lee",04/26/1948,106,Drama,"Michael Rennie,Beryl Baxter,Christine Norden"
10737,Conan the Barbarian,2011,Marcus Nispel,"Thomas Dean Donnelly,Joshua Oppenheimer",08/19/2011,113,"Science Fiction & Fantasy,Action & Adventure","Jason Momoa,Ron Perlman,Rose McGowan"
10738,Steel,2009,Doug Walker,"Doug Walker,Doug Walker",07/01/2009,,Comedy,Doug Walker
10739,Jonah Hex,2010,Jimmy Hayward,"Mark Neveldine,Brian Taylor",06/18/2010,81,"Drama,Science Fiction & Fantasy,Action & Adventure","Josh Brolin,Megan Fox,John Malkovich"
10740,Mortuary,2005,Tobe Hooper,"Jace Anderson,Adam Gierasch",2005,94,"Thriller,Mystery & Suspense,Horror","Dan Byrd,Denise Crosby,Stephanie Patton"
10741,The Legend of Billie Jean,2014,Allison Pregler,Allison Pregler,10/03/2014,17,Comedy,Allison Pregler
10742,Shimmer and Shine,2015,,,08/24/2015,30,"Science Fiction & Fantasy,Animation,Action & Adventure","Alina Foley,Isabella Crovetti-Cramp,Eva Bella"
10743,Final Fantasy: The Spirits Within,2001,"Hironobu Sakaguchi,Motonori Sakakibara","Hironobu Sakaguchi,Al Reinert",07/11/2001,106,"Animation,Action & Adventure","Alec Baldwin,Steve Buscemi,Ming-Na Wen"
10744,Gone,2012,Heitor Dhalia,Allison Burnett,02/24/2012,94,"Drama,Thriller,Mystery & Suspense","Amanda Seyfried,Jennifer Carpenter,Wes Bentley"
10745,Duel in the Sun,1947,"King Vidor,Otto Brower","David O. Selznick,Niven Busch",09/12/1947,129,"Drama,Romance,Western","Jennifer Jones,Joseph Cotten,Gregory Peck"
10746,RoboCop 3,2011,,,December 2011,,,Oliver Harper
10747,Superman IV,2011,,,11/09/2011,12,,Oliver Harper
10748,Oliver Harper's Retrospectives and Reviews,2011,,,11/09/2011,,,Oliver Harper
10749,Dead of Night,1945,"Alberto Cavalcanti,Charles Crichton","H.G. Wells,E.F. Benson",10/15/1945,77,"Science Fiction & Fantasy,Horror","Mervyn Johns,Michael Redgrave,Roland Culver"
10750,The Turn of the Screw,1959,Peter Morley,"Myfanwy Piper,Henry James",12/25/1959,50,Musical & Performing Arts,"Jennifer Vyvyan,Raymond Nilsson,Arda Mandikian"
10751,Curse of the Demon,1958,Jacques Tourneur,"Charles Bennett,Hal E. Chester",July 1958,95,"Science Fiction & Fantasy,Mystery & Suspense,Horror","Dana Andrews,Peggy Cummins,Niall MacGinnis"
10752,The Uninvited,1944,Lewis Allen,"Dodie Smith,Frank Partos",09/01/1944,99,"Science Fiction & Fantasy,Mystery & Suspense,Horror","Ray Milland,Ruth Hussey,Donald Crisp"
10753,Cat People,1942,Jacques Tourneur,DeWitt Bodeen,12/25/1942,73,"Science Fiction & Fantasy,Thriller,Horror","Simone Simon,Tom Conway,Kent Smith"
10754,Xtro,1983,Harry Bromley Davenport,"Harry Bromley Davenport,Iain Cassie",01/07/1983,84,"Science Fiction & Fantasy,Horror","Philip Sayer,Bernice Stegers,Danny Brainin"
10755,Splatter Beach,2007,"John Polonia,Mark Polonia",John Polonia,10/09/2007,70,Horror,"Erin Brown,Erika Smith,Dave Fife"
10756,Creature,1985,William Malone,"William Malone,Alan Reed",05/08/1985,97,"Science Fiction & Fantasy,Horror","Stan Ivar,Wendy Schaal,Lyman Ward"
10757,Forbidden World,1982,Allan Holzman,"Tim Curnen,Jim Wynorski",05/07/1982,77,"Science Fiction & Fantasy,Horror","Jesse Vint,Dawn Dunlap,June Chadwick"
10758,Galaxy of Terror,1981,Bruce D. Clark,"Marc Siegler,Bruce D. Clark",October 1981,81,"Action & Adventure,Horror","Edward Albert,Erin Moran,Ray Walston"
10759,Humanoids from the Deep,1996,Jeff Yonis,"Martin B. Cohen,Jeff Yonis",09/14/1996,86,"Drama,Action & Adventure,Horror","Emma Samms,Robert Carradine,Justin Walker"
10760,Splatter University,1984,Richard W. Haines,"Michael Cunningham,Richard W. Haines",07/13/1984,78,"Thriller,Mystery & Suspense,Horror","Forbes Riley,Ric Randig,Dick Biel"
10761,C.H.U.D.,1984,Douglas Cheek,"Parnell Hall,Shepard Abbott",08/31/1984,88,"Science Fiction & Fantasy,Horror","John Heard,Daniel Stern,Christopher Curry"
10762,Chopping Mall,1986,Jim Wynorski,"Jim Wynorski,Steve Mitchell",03/21/1986,77,"Science Fiction & Fantasy,Horror,Comedy","Kelli Maroney,Tony O'Dell,Russell Todd"
10763,The Deadly Spawn,1983,Douglas McKeown,"Douglas McKeown,Ted A. Bohus",04/22/1983,81,"Science Fiction & Fantasy,Horror","Charles George Hildebrandt,Tom DeFranco,Richard Lee Porter"
10764,Harbinger Down,2015,Alec Gillis,Alec Gillis,08/07/2015,82,"Science Fiction & Fantasy,Horror","Lance Henriksen,Camille Balsamo,Matt Winston"
10765,Fat Albert,2004,Joel Zwick,"Bill Cosby,Charles Kipps",12/25/2004,93,"Science Fiction & Fantasy,Kids & Family,Comedy","Kenan Thompson,Kyla Pratt,Omarion Grandberry"
10766,June,2015,L. Gustavo Cooper,"Sharon Y. Cobb,L. Gustavo Cooper",10/13/2015,84,"Science Fiction & Fantasy,Horror","Casper Van Dien,Eddie Jemison,Victoria Pratt"
10767,Deep Dark,2015,Michael Medaglia,Michael Medaglia,09/04/2015,79,"Science Fiction & Fantasy,Horror","Sean McGrath,Denise Poirier,Anne Sorce"
10768,Kill Game,2015,Robert Mearns,Robert Mearns,12/05/2015,102,Horror,"Mouzam Makkar,Pierson Fode,Laura Ashley Samuels"
10769,The Toolbox Murders,1978,Dennis Donnelly,"Neva Friedenn,Robert Easter",03/03/1978,93,"Thriller,Mystery & Suspense,Horror","Cameron Mitchell,Pamelyn Ferdin,Wesley Eure"
10770,Kung Fu Massacre,1975,Tian-Lin Wang,,March 1975,92,"Drama,Action & Adventure","Charles Heung,Fu-wan Chin,Tina Chin-Fei"
10771,Night School,1981,Ken Hughes,Ruth Avergon,09/11/1981,88,"Mystery & Suspense,Horror","Leonard Mann,Rachel Ward,Drew Snyder"
10772,Unhinged,1982,Don Gronquist,"Don Gronquist,Reagan Ramsey",10/15/1982,79,Horror,"Laurel Munson,Janet Penner,Sara Ansley"
10773,Evilspeak,1982,Eric Weston,"Joseph Garofalo,Eric Weston",02/26/1982,97,"Drama,Science Fiction & Fantasy,Horror","Clint Howard,R.G. Armstrong,Joe Cortese"
10774,The Sinful Dwarf,1973,Vidal Raski,"Harlan Asquith,William Mayo",December 1973,95,"Adult,Crime,Horror","Anne Sparrow,Tony Eades,Clara Keller"
10775,Madman,1982,Joe Giannone,"Joe Giannone,Joe Giannone",01/01/1982,88,"Thriller,Horror","Gaylen Ross,Tony Fish,Harriet Bass"
10776,The Devil's Backbone,2001,Guillermo del Toro,"Guillermo del Toro,Antonio Trashorras",04/20/2001,106,"Drama,Science Fiction & Fantasy,Horror","Marisa Paredes,Eduardo Noriega,Federico Luppi"
10777,The House of Exorcism,1976,"Mario Bava,Alfredo Leone","Mario Bava,Alberto Cittini",07/09/1976,92,Horror,"Telly Savalas,Elke Sommer,Sylva Koscina"
10778,Beyond the Door II,1977,Mario Bava,"Francesco Barbieri,Lamberto Bava",08/12/1977,93,Horror,"Daria Nicolodi,John Steiner,David Colin Jr."
10779,Rabid Dogs,1998,"Mario Bava,Lamberto Bava","Alessandro Parenzo,Alessandro Parenzo",02/25/1998,96,"Drama,Crime,Thriller","Lea Lander,George Eastman,Riccardo Cucciolla"
10780,Shock Waves,1977,Ken Wiederhorn,"John Kent Harrison,Ken Wiederhorn",07/15/1977,85,"Science Fiction & Fantasy,Mystery & Suspense,Horror","Peter Cushing,John Carradine,Brooke Adams"
10781,Horror Rises from the Tomb,1975,Carlos Aured,Paul Naschy,February 1975,88,Horror,"Paul Naschy,Emma Cohen,Vctor Alczar"
10782,The Werewolf Versus the Vampire Woman,1972,Len Klimovsky,"Paul Naschy,Hans Munkel",1972,82,Horror,"Paul Naschy,Gaby Fuchs,Barbara Capell"
10783,The Living Dead at Manchester Morgue,1975,Jorge Grau,"Sandro Continenza,Marcello Coscia",06/01/1975,95,"Science Fiction & Fantasy,Horror","Cristina Galb,Ray Lovelock,Arthur Kennedy"
10784,Return of the Evil Dead,1975,Amando de Ossorio,"Amando de Ossorio,Amando de Ossorio",1975,91,Horror,"Tony Kendall,Fernando Sancho,Esperanza Roy"
10785,Night of the Seagulls,1977,Amando de Ossorio,"Amando de Ossorio,Amando de Ossorio",1977,89,Horror,"Vctor Petit,Mara Kosty,Sandra Mozarowsky"
10786,5 Dolls for an August Moon,1970,Mario Bava,Mario di Nardo,11/25/1970,78,"Thriller,Mystery & Suspense","William Berger,Ira von Frstenberg,Edwige Fenech"
10787,Black Sabbath,1964,Mario Bava,"Mario Bava,Alberto Bevilacqua",05/06/1964,92,Horror,"Michle Mercier,Lidia Alfonsi,Boris Karloff"
10788,The Whip and the Body,1965,Mario Bava,"Ernesto Gastaldi,Ugo Guerra",12/10/1965,87,Horror,"Daliah Lavi,Christopher Lee,Tony Kendall"
10789,Blood Brides,1974,Mario Bava,Santiago Moncada,02/09/1974,88,"Thriller,Horror","Stephen Forsyth,Dagmar Lassander,Laura Betti"
10790,Baron Blood,1972,Mario Bava,"Vincent Fotre,Vincent Fotre",10/27/1972,90,Horror,"Joseph Cotten,Elke Sommer,Massimo Girotti"
10791,Evil Eye,1964,Mario Bava,"Mario Bava,Enzo Corbucci",05/20/1964,86,"Thriller,Mystery & Suspense","Letcia Romn,John Saxon,Valentina Cortese"
10792,Blood and Black Lace,1965,Mario Bava,"Marcello Fondato,Giuseppe Barilla",04/07/1965,84,"Thriller,Mystery & Suspense,Horror","Cameron Mitchell,Eva Bartok,Thomas Reiner"
10793,A Bay of Blood,1972,Mario Bava,"Franco Barberi,Mario Bava",05/03/1972,84,"Thriller,Mystery & Suspense,Horror","Claudine Auger,Luigi Pistilli,Claudio Camaso"
10794,Lisa and the Devil,1973,Mario Bava,"Mario Bava,Alfredo Leone",05/09/1973,95,Horror,"Telly Savalas,Elke Sommer,Sylva Koscina"
10795,Welcome to Woop Woop,1998,Stephan Elliott,"Douglas Kennedy,Michael Thomas",11/13/1998,97,"Science Fiction & Fantasy,Action & Adventure,Comedy","Johnathon Schaech,Rod Taylor,Susie Porter"
10796,The Final Terror,1983,Andrew Davis,"Jon George,Neill D. Hicks",05/01/1983,82,Horror,"John Friedrich,Adrian Zmed,Ernest Harden Jr."
10797,Patrick,1979,Richard Franklin,Everett De Roche,09/07/1979,96,"Science Fiction & Fantasy,Romance,Horror","Susan Penhaligon,Robert Helpmann,Rod Mullinar"
10798,Turkey Shoot,1983,Brian Trenchard-Smith,"Jon George,Neill D. Hicks",09/02/1983,80,"Drama,Science Fiction & Fantasy,Horror","Steve Railsback,Olivia Hussey,Michael Craig"
10799,Fair Game,1986,Mario Andreacchio,Rob George,07/24/1986,90,"Thriller,Action & Adventure,Horror","Cassandra Delaney,Peter Ford,David Sandford"
10800,Dark Age,1988,Arch Nicholson,"Sonia Borg,Stephen Cross",06/29/1988,91,"Action & Adventure,Horror","John Jarratt,Nikki Coghill,Max Phipps"
10801,Road Games,1981,Richard Franklin,"Everett De Roche,Everett De Roche",11/19/1981,101,"Thriller,Mystery & Suspense,Horror","Stacy Keach,Jamie Lee Curtis,Marion Edward"
10802,Long Weekend,1979,Colin Eggleston,Everett De Roche,03/29/1979,97,"Thriller,Mystery & Suspense,Horror","John Hargreaves,Briony Behets,Mike McEwen"
10803,Sins of the Fleshapoids,1966,Mike Kuchar,,04/30/1966,43,"Science Fiction & Fantasy,Short,Comedy","Bob Cowan,George Kuchar,Donna Kerness"
10804,Party Monster,1999,"Fenton Bailey,Randy Barbato",,02/12/1999,57,"Documentary,Biography","Michael Alig,Gitsie,James St. James"
10805,Caged,1950,John Cromwell,"Virginia Kellogg,Virginia Kellogg",05/19/1950,96,"Drama,Film-Noir,Crime","Eleanor Parker,Agnes Moorehead,Ellen Corby"
10806,Who Killed Pasolini?,1995,Marco Tullio Giordana,"Marco Tullio Giordana,Sandro Petraglia",09/03/1995,100,"Drama,Crime","Carlo DeFilippi,Nicoletta Braschi,Toni Bertorelli"
10807,Bayou,1957,Harold Daniels,Edward I. Fessler,June 1957,83,Drama,"Peter Graves,Lita Milan,Douglas Fowley"
10808,Kiddie Flamingos,2015,John Waters,John Waters,01/09/2015,74,Comedy,"Madelyn Beckett,Taylor Howard-Goergens,Dexter Shaffer"
10809,The Cockettes,2002,"Bill Weber,David Weissman",,01/16/2002,100,Documentary,"Larry Brinkin,Peggy Cass,Pristine Condition"
10810,Cul-De-Sac,1966,Roman Polanski,"Grard Brach,Roman Polanski",11/07/1966,113,"Drama,Thriller,Comedy","Donald Pleasence,Franoise Dorlac,Lionel Stander"
10811,A History of Sex,2003,Michael Coulter,,03/03/2003,70,Documentary,"Janine Amsterdam,Laurence Fishburne,Xaviera Hollander"
10812,"Dorothy, the Kansas City Pot Head",,John Waters,John Waters,,,Short,"George Figgs,Pat Moran,Maelcum Soul"
10813,Hag in a Black Leather Jacket,,John Waters,John Waters,,17,Short,"Mona Montgomery,Mary Vivian Pearce,Tricia Waters"
10814,Eat Your Makeup,1968,John Waters,John Waters,02/23/1968,45,Comedy,"Lizzy Temple Black,Berenica Cipcus,Divine"
10815,Roman Candles,,John Waters,John Waters,,40,Short,"Divine,Mark Isherwood,David Lochary"
10816,The Brain Leeches,1978,Fred Olen Ray,"Jim Kennedy,Brad Linaweaver",1978,55,"Science Fiction & Fantasy,Horror","Paul Jones,Marcia Scott,Ray Starr"
10817,Death Curse of Tartu,1968,William Grefe,William Grefe,01/29/1968,87,Horror,"Fred Pinero,Babette Sherrill,Bill Marcus"
10818,Humongous,1982,Paul Lynch,William Gray,06/11/1982,97,"Romance,Horror","Janet Julian,David Wallace,John Wildman"
10819,The Alien Dead,1980,Fred Olen Ray,"Fred Olen Ray,Martin Nicholas",06/01/1980,74,"Science Fiction & Fantasy,Horror,Comedy","Buster Crabbe,Ray Roberts,Linda Lewis"
10820,The Slayer,1982,J.S. Cardone,"J.S. Cardone,Bill Ewing",10/01/1982,80,Horror,"Sarah Kendall,Frederick Flynn,Carol Kottenbrook"
10821,Dogs,2013,Brad Jones,Brad Jones,08/05/2013,17,Comedy,"Brad Jones,Lloyd"
10822,Scalps,1987,"Claudio Fragasso,Bruno Mattei","Italo Gasperini,Richard Harrison",10/14/1987,102,"Drama,Western,Action & Adventure","Vassili Karis,Mapi Galn,Alberto Farnese"
10823,Grizzly II: The Concert,1983,Andr Szts,"Joan McCall,David Sheldon",1983,97,"Musical & Performing Arts,Thriller,Horror","Steve Inwood,Deborah Raffin,John Rhys-Davies"
10824,The Evil,1978,Gus Trikonis,"Galen Thompson,Gus Trikonis",05/05/1978,89,"Thriller,Horror","Richard Crenna,Joanna Pettet,Andrew Prine"
10825,Ninja Champion,2014,Brad Jones,Brad Jones,04/02/2014,24,Comedy,Brad Jones
10826,Dogs,1976,Burt Brinckerhoff,O'Brian Tomalin,1976,90,"Thriller,Horror","David McCallum,Sandra McCabe,George Wyner"
10827,Grant Unto Him Eternal Rest,1995,Declan Lowney,"Graham Linehan,Arthur Mathews",05/26/1995,24,Comedy,"Dermot Morgan,Ardal O'Hanlon,Frank Kelly"
10828,Slugs,1988,Juan Piquer Simn,"Jos Antonio Escriv,Ron Gantman",02/05/1988,89,"Science Fiction & Fantasy,Horror","Michael Garfield,Kim Terry,Philip MacHale"
10829,Shark Night 3D,2011,David R. Ellis,"Will Hayes,Jesse Studenberg",09/02/2011,90,"Thriller,Horror","Sara Paxton,Dustin Milligan,Chris Carmack"
10830,Theodore Rex,2010,Doug Walker,Doug Walker,06/15/2010,,Comedy,Doug Walker
10831,Bait,2012,Kimble Rendall,"Shayne Armstrong,Duncan Kennedy",09/20/2012,93,"Science Fiction & Fantasy,Action & Adventure,Horror","Richard Brancatisano,Xavier Samuel,Chris Betts"
10832,Sharkmania: The Top 15 Biggest Baddest Bloodiest Bites,2014,,,07/27/2014,120,"Science Fiction & Fantasy,Comedy","Brooke Hogan,Carrie Keagan,Mark McGrath"
10833,Jaws in Japan,2010,John Hijiri,"Yasutoshi Murakawa,Bobby White",10/12/2010,70,Horror,"Nonami Takizawa,Airi Nakajima,Megumi Haruno"
10834,Ghost Town,1988,"Richard McCarthy,Mac Ahlberg","Duke Sandefur,David Schmoeller",11/11/1988,85,"Western,Action & Adventure,Horror","Franc Luz,Catherine Hickland,Jimmie F. Skaggs"
10835,Sherry Holocaust: Interview with Actress Sherry Buchanan,2016,"Manlio Gomarasca,Davide Pulici",Federico Caddeo,07/26/2016,23,Short,Sherry Buchanan
10836,Jaws 19,2015,"Sergey A.,Ivan Yakovidish",Sergey A.,09/16/2015,63,"Thriller,Action & Adventure,Horror","Sergey A.,Krolik Black,Eldar Bogunov"
10837,Stonewall,1996,Nigel Finch,"Rikki Beadle Blair,Martin Duberman",09/03/1996,99,"Drama,Romance,Comedy","Guillermo Daz,Frederick Weller,Brendan Corbalis"
10838,Frogs,1972,George McCowan,"Robert Hutchison,Robert Blees",03/10/1972,91,"Romance,Mystery & Suspense,Horror","Ray Milland,Sam Elliott,Joan Van Ark"
10839,Kingdom of the Spiders,1977,John 'Bud' Cardos,"Richard Robinson,Alan Caillou",November 1977,97,"Science Fiction & Fantasy,Horror","William Shatner,Tiffany Bolling,Woody Strode"
10840,Empire of the Ants,1977,Bert I. Gordon,"H.G. Wells,Jack Turley",July 1977,89,"Science Fiction & Fantasy,Action & Adventure,Horror","Joan Collins,Robert Lansing,John David Carson"
10841,Devil Dog: The Hound of Hell,1978,Curtis Harrington,"Steven Karpf,Elinor Karpf",10/31/1978,95,"Thriller,Horror","Richard Crenna,Yvette Mimieux,Kim Richards"
10842,The Pack,1977,Robert Clouse,"Robert Clouse,David Fisher",11/20/1977,95,"Thriller,Horror","Joe Don Baker,Hope Alexander-Willis,Richard B. Shull"
10843,Tarzan the Ape Man,1981,John Derek,"Tom Rowe,Edgar Rice Burroughs",07/24/1981,107,"Drama,Action & Adventure","Bo Derek,Richard Harris,Miles O'Keeffe"
10844,Flu Bird Horror,2008,Leigh Scott,"Tony Daniel,Brian D. Smith",08/23/2008,89,"Thriller,Horror","Clare Carey,Lance Guest,Jonathon Trent"
10845,The Food of the Gods,1976,Bert I. Gordon,"H.G. Wells,Bert I. Gordon",06/18/1976,88,"Science Fiction & Fantasy,Action & Adventure,Horror","Marjoe Gortner,Pamela Franklin,Ralph Meeker"
10846,Starz Inside: Fantastic Flesh,2008,Kevin VanHook,,10/07/2008,60,"Documentary,History","Howard Berger,Rob Bottin,Josh Brolin"
10847,Critters,1986,Stephen Herek,"Domonic Muir,Domonic Muir",04/11/1986,82,"Horror,Action & Adventure,Comedy","Dee Wallace,M. Emmet Walsh,Billy Green Bush"
10848,Piranha,1972,William Gibson,Richard Finder,11/08/1972,94,"Drama,Thriller","William Smith,Peter Brown,Ahna Capri"
10849,Cry-Baby,1990,John Waters,John Waters,04/06/1990,85,"Musical & Performing Arts,Comedy","Johnny Depp,Ricki Lake,Amy Locane"
10850,Pop and Easy Listening,2006,,,08/19/2006,90,Documentary,"Stephen Fry,John Aizlewood,Cheryl Baker"
10851,The Outing,1987,Tom Daley,Warren Chaney,11/21/1987,87,Horror,"Deborah Winters,James Huston,Andra St. Ivanyi"
10852,A Dirty Shame,2004,John Waters,John Waters,09/24/2004,89,Comedy,"Tracey Ullman,Chris Isaak,Selma Blair"
10853,Grindhouse Universe,2008,,,01/29/2008,155,Action & Adventure,
10854,Nightmares,1983,Joseph Sargent,"Christopher Crowe,Jeffrey Bloom",09/09/1983,99,"Science Fiction & Fantasy,Horror","Cristina Raines,Joe Lambie,Anthony James"
10855,Mutant War,1988,Brett Piper,Brett Piper,07/23/1988,82,"Science Fiction & Fantasy,Action & Adventure","Cameron Mitchell,Matt Mitler,Deborah Quayle"
10856,San Babila-8 P.M.,1978,Carlo Lizzani,"Mino Giarda,Carlo Lizzani",07/03/1978,105,Drama,"Daniele Asti,Brigitte Skay,Giuliano Cesareo"
10857,The Legend of Boggy Creek,1973,Charles B. Pierce,Earl E. Smith,06/07/1973,85,"Drama,Mystery & Suspense,Horror","Willie E. Smith,John P. Hixon,Vern Stierman"
10858,Slaughter Studios,2002,Brian Katkin,"Dan Acre,John Huckert",12/31/2002,90,"Horror,Mystery & Suspense,Comedy","Nicolas Read,Amy Shelton-White,Tara Killian"
10859,Tourist Trap,1979,David Schmoeller,"David Schmoeller,J. Larry Carroll",03/16/1979,90,Horror,"Chuck Connors,Jocelyn Jones,Jon Van Ness"
10860,Cradle of Fear,2001,Alex Chandon,Alex Chandon,07/04/2001,120,Horror,"Dani Filth,Emily Booth,Stuart Laing"
10861,Sharktopus,2010,Declan O'Brien,Mike MacLean,09/25/2010,89,"Science Fiction & Fantasy,Horror,Comedy","Eric Roberts,Kerem Bursin,Sara Malakul Lane"
10862,Shark Zone,2003,Danny Lerner,"Danny Lerner,Sam Parish",10/14/2003,91,"Drama,Action & Adventure,Horror","Dean Cochran,Alan Austin,Brandi Sherwood"
10863,The Bermuda Triangle,1978,Ren Cardona Jr.,"Charles Berlitz,Ren Cardona Jr.",03/16/1978,112,"Science Fiction & Fantasy,Mystery & Suspense,Horror","John Huston,Andrs Garca,Hugo Stiglitz"
10864,The Horror Show,1989,"James Isaac,David Blyth","Allyn Warner,Leslie Bohem",04/28/1989,95,Horror,"Lance Henriksen,Brion James,Rita Taggart"
10865,Martini Ranch: Reach,1988,James Cameron,,01/16/1988,8,"Short,Action & Adventure,Comedy","Kathryn Bigelow,Bobbie Brat,Bud Cort"
10866,Xenogenesis,,"James Cameron,Randall Frakes","James Cameron,Randall Frakes",,12,"Science Fiction & Fantasy,Short","William Wisher Jr.,Margaret Undiel"
10867,Piranha 3DD,2012,John Gulager,"Patrick Melton,Marcus Dunstan",05/11/2012,83,"Horror,Comedy","Danielle Panabaker,Ving Rhames,David Hasselhoff"
